68719476856,IDENTIFIER,-1,,require,0,"(""./context/role-aliases/role-aliases.module""):<member>(RoleAliasesModule);(""@nestjs/common""):<member>(Module);(""@nestjs/common""):<member>(MiddlewareConsumer);(""./shared/infrastructure/logger/pinoLoggerOptions""):<member>(pinoOptions);(""@nestjs/common""):<member>(NestModule);(""@nestjs/typeorm""):<member>(TypeOrmModule);(""./shared/middleware/correlation-id/correlation-id.middleware""):<member>(CorrelationIdMiddleware);(""./shared/infrastructure/persistance/postgre-sql/PostgresDataSource""):<member>(appPostgresDataSource);(""./context/users/users.module""):<member>(UsersModule);(""nestjs-pino""):<member>(LoggerModule)",12,require,,,1,,ANY
68719476857,IDENTIFIER,0,,this,0,src/app.module.ts::program,12,this,,,2,,src/app.module.ts::program
68719476858,IDENTIFIER,1,,TenantRoleAliasModule,0,src/context/tenant-role-aliases/tenant-role-aliases.module.ts::program:TenantRoleAliasModule;TenantRoleAliasModule,13,TenantRoleAliasModule,,,1,,ANY
68719476859,IDENTIFIER,-1,,require,0,"(""./context/role-aliases/role-aliases.module""):<member>(RoleAliasesModule);(""@nestjs/common""):<member>(Module);(""@nestjs/common""):<member>(MiddlewareConsumer);(""./shared/infrastructure/logger/pinoLoggerOptions""):<member>(pinoOptions);(""@nestjs/common""):<member>(NestModule);(""@nestjs/typeorm""):<member>(TypeOrmModule);(""./shared/middleware/correlation-id/correlation-id.middleware""):<member>(CorrelationIdMiddleware);(""./shared/infrastructure/persistance/postgre-sql/PostgresDataSource""):<member>(appPostgresDataSource);(""./context/users/users.module""):<member>(UsersModule);(""nestjs-pino""):<member>(LoggerModule)",13,require,,,1,,ANY
68719476860,IDENTIFIER,0,,this,0,src/app.module.ts::program,13,this,,,2,,src/app.module.ts::program
68719476861,IDENTIFIER,1,,AppModule,0,src/app.module.ts::program:AppModule:<init>;src/app.module.ts::program:AppModule,15,AppModule,,,1,,ANY
68719476862,IDENTIFIER,1,,exports,0,,15,exports,,,1,,ANY
68719476863,IDENTIFIER,2,,AppModule,0,,15,AppModule,,,2,,src/app.module.ts::program:AppModule
68719476864,IDENTIFIER,1,,logger,19,,5,logger,,,1,ANY,@nestjs/common:Logger
68719476865,IDENTIFIER,1,,_tmp_0,28,,5,_tmp_0,,,1,,@nestjs/common:Logger
68719476866,IDENTIFIER,-1,,Logger,32,,5,Logger,,,1,ANY,@nestjs/common:Logger
68719476867,IDENTIFIER,0,,_tmp_0,28,,5,_tmp_0,,,2,,@nestjs/common:Logger
68719476868,IDENTIFIER,1,,AppService,39,,5,AppService,,,1,AppService,src/app.service.ts::program:AppService
68719476869,IDENTIFIER,3,,_tmp_0,28,,5,_tmp_0,,,3,,@nestjs/common:Logger
68719476870,IDENTIFIER,1,,_tmp_1,4,,8,_tmp_1,,,1,,@nestjs/common:Logger
68719476871,IDENTIFIER,1,,this,4,src/app.service.ts::program:AppService;src/app.service.ts::program,8,this,,,1,,src/app.service.ts::program:AppService
68719476872,IDENTIFIER,0,,_tmp_1,4,,8,_tmp_1,,,2,,@nestjs/common:Logger
68719476873,IDENTIFIER,1,,AppService,23,,8,AppService,,,1,AppService,src/app.service.ts::program:AppService
